Algorithm,Iteration,Convergence Point,Loss at Convergence Point
GDA,87,"(-2.59606, 12.41331)",74.59423
AGDA,88,"(-2.59607, 12.41333)",74.59423
OGDA,97,"(-2.59608, 12.41334)",74.59423
EG,95,"(-2.5961, 12.41335)",74.59423
SGA,63,"(-2.59604, 12.41336)",74.59423
CO,56,"(-2.59603, 12.41335)",74.59423
FR,91,"(-2.59597, 12.41329)",74.59423
GMN,79,"(-2.59599, 12.41332)",74.59423
AGDADG,79,"(-2.59599, 12.41332)",74.59423
OGDADG,77,"(-2.59601, 12.41336)",74.59423
EGDG,92,"(-2.59601, 12.41333)",74.59423
SGADG,61,"(-2.59603, 12.41334)",74.59423
CODG,61,"(-2.59603, 12.41332)",74.59423
FRDG,89,"(-2.59601, 12.4133)",74.59423
